Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C24",0603,2,1u,C15849
"C10, C11, C12, C14, C15, C16, C17, C19, C2, C3, C6, C9",0402,12,100nF,C1525
"C13, C18",0402,2,2.2uF,C12530
"C20, C25",0805,2,22u,C45783
C23,0603,1,33n,C21117 
"C4, C5",1206,2,10u,C513774
"C7, C8",0402,2,30pF,C1570
"D1, D2",0603,2,GREEN,C12624
J1,USB_C_GSwitch,1,USB_C_Receptacle_USB2.0_16P,C963411
L1,L_Wuerth_MAPI-4020,1,3.3u,C5349667
"Q1, Q2",SOT-323_SC-70,2,BSS138,C383201
"R1, R19, R2, R21, R3, R4, R5, R6",0402,8,5.1k,C25905
"R10, R14, R18, R20, R9",0402,5,10k,C25744
"R11, R12, R16",0402,3,27R,C138021
"R13, R15, R8",0402,3,1k,C11702
R17,0402,1,52.3k, C103091
R7,0805,1,5m, C728267
TH1,0402,1,Thermistor_NTC,C77131
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,AP33772S,C9900152998
U10,SOT583,1,TPS62933DRLR,C3200405
U3,8-USON,1,W25Q16JVUXIQ_TR,C2843335
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
"U5, U6",DFN-8(3.3x3.3),2,AON7262E,C176755
U7,SOT-23-5,1,AP2204K-3.3,C112032
"U8, U9",Button_3.2x2.5,2,~,C221896
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C133334
