Designator,Mid X,Mid Y,Rotation,Layer
C1,-6.002,-18.623,270.0,top
C10,-5.9512,-38.054,180.0,top
C11,-0.287,-31.577,90.0,top
C12,0.348,-43.8706,270.0,top
C13,3.269,-31.557,90.0,top
C14,0.602,-31.577,90.0,top
C15,6.2662,-37.927,0.0,top
C16,-5.9512,-34.117,180.0,top
C17,5.682,-32.085,0.0,top
C18,5.682,-31.196,0.0,top
C19,4.793,-20.02,270.0,top
C2,-3.589,-10.8435,90.0,top
C20,3.523,-26.243,0.0,top
C23,5.936,-19.131,270.0,top
C24,3.269,-28.529,0.0,top
C25,1.491,-24.211,0.0,top
C3,0.475,-13.67,270.0,top
C4,5.047,-14.559,0.0,top
C5,6.063,-5.407,90.0,top
C6,-5.2146,-30.307,270.0,top
C7,-2.954,-43.515,180.0,top
C8,0.4496,-46.182,270.0,top
C9,1.237,-43.8706,270.0,top
D1,6.063,-34.498,270.0,top
D2,-1.43,-20.909,270.0,top
J1,-0.033,-6.354,180.0,top
L1,1.745,-20.909,180.0,top
Q1,-3.462,-21.798,90.0,top
Q2,-6.002,-21.798,90.0,top
R1,-6.129,-8.807,180.0,top
R10,6.317,-16.591,90.0,top
R11,1.491,-31.577,270.0,top
R12,2.38,-31.577,270.0,top
R13,6.2662,-36.4538,0.0,top
R14,2.507,-45.674,0.0,top
R15,-1.049,-43.515,0.0,top
R16,-6.129,-6.732,0.0,top
R17,1.491,-17.48,90.0,top
R18,1.491,-15.575,90.0,top
R19,-0.541,-15.575,270.0,top
R2,-6.129,-7.791,180.0,top
R20,0.475,-15.575,90.0,top
R21,-1.303,-23.449,90.0,top
R3,-2.954,-19.131,270.0,top
R4,-3.335,-23.957,0.0,top
R5,-5.875,-23.957,0.0,top
R6,-4.478,-19.131,270.0,top
R7,-2.065,-9.098,270.0,top
R8,-5.2146,-32.212,270.0,top
R9,5.301,-16.591,270.0,top
TH1,-2.065,-11.257,0.0,top
U1,-3.716,-14.3995,180.0,top
U10,3.523,-17.226,270.0,top
U3,-3.3096,-30.9023,90.0,top
U4,0.0855,-37.165,90.0,top
U5,1.745,-10.495,0.0,top
U6,5.484,-10.49537,180.0,top
U7,0.0178,-27.259,90.0,top
U8,4.5805,-43.134,180.0,top
U9,-4.732,-26.37,180.0,top
Y1,-2.065,-45.801,180.0,top
